AÑO,MES,PROVINCIA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
2024,7,Total Nacional,África,Total África,204909,1215909,5.9
2024,8,Total Nacional,América,Total América,710287,4723894,6.7
2024,8,Total Nacional,Asia,Total Asia,284827,1830839,6.4
2024,8,Total Nacional,Europa,Total Europa,10559486,77643132,7.4
2024,8,Total Nacional,Oceanía,Total Oceanía,29654,191872,6.5
2024,8,Total Nacional,África,Total África,328374,1710654,5.2
2024,9,Total Nacional,América,Total América,841591,5132877,6.1
2024,9,Total Nacional,Asia,Total Asia,271653,1492333,5.5
2024,9,Total Nacional,Europa,Total Europa,8594910,56898848,6.6
2024,9,Total Nacional,Oceanía,Total Oceanía,35747,226743,6.3
2024,9,Total Nacional,África,Total África,247760,1454411,5.9
2024,10,Total Nacional,América,Total América,773049,5082959,6.6
2024,10,Total Nacional,Asia,Total Asia,277220,1627339,5.9
2024,10,Total Nacional,Europa,Total Europa,8319805,55722352,6.7
2024,10,Total Nacional,Oceanía,Total Oceanía,26821,206044,7.7
2024,10,Total Nacional,África,Total África,194014,1402998,7.2
