TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
34112,337356,9.889657598499062
16339,138197,8.458106371258951
236896,1816306,7.667102863703904
12469,145329,11.65522495789558
10883,112909,10.374804741339704
621008,4608836,7.42154046324685
12570,149072,11.859347653142402
36029,366965,10.185267423464431
7552,93463,12.375926906779661
573720,4204443,7.328388412466011
25511,242223,9.494845360824742
80546,964717,11.977217987237108
332255,2778937,8.363868113346676
55613,518901,9.330570190423103
26280,290205,11.042808219178083
9677,87516,9.043711894182081
48076,476450,9.910350278725351
38113,387229,10.16002413874531
428877,3237937,7.549803323563633
8829,82998,9.400611620795107
114081,783403,6.867076901499812
7196,62001,8.61603668704836
72710,596193,8.199601155274378
7249,67951,9.3738446682301
22702,217389,9.575764249845829
170187,1407337,8.269356648862722
18996,194557,10.241998315434829
18657,204398,10.955566275392615
43157,426135,9.874064462312024
4683,48656,10.389920990817851
32403,363518,11.218652593895627
11891,145060,12.199142208392901
230213,2333994,10.138410949859479
44360,546323,12.315667267808836
27015,296502,10.975458078845087
24425,301836,12.357666325486182
38752,481381,12.422094343517754
634646,4352069,6.857474875757509
34564,334946,9.690602939474598
29662,232821,7.849133571573057
18351,228050,12.427115688518336
37199,393266,10.571950858894056
25633,234854,9.162173760387
11300,136502,12.079823008849557
7906,92722,11.728054642044016
19103,195648,10.241742134743234
106263,855012,8.04618729002569
19152,206242,10.768692564745196
109053,944363,8.6596700686822
155533,1329307,8.54678428372114
58838,511412,8.69186580101295
15514,151010,9.733788835890163
30021,320093,10.662303054528497
16621,138931,8.358763010649179
133568,1088376,8.148478677527551
14429,188545,13.06708711622427
10555,122229,11.580198957839887
579003,4416380,7.627559788118542
12683,145843,11.499093274461877
38731,360322,9.303193824068575
7649,96388,12.601385802065629
516838,4101951,7.936628111710053
25126,255826,10.181724110483165
69933,893989,12.783507071053723
241736,2146691,8.880311579574412
49127,531642,10.821788425916502
28995,299850,10.341438178996379
10867,90922,8.366798564461213
53328,529984,9.938193819381938
36800,391285,10.632744565217392
421083,3343069,7.939216259027318
8771,87847,10.015619655683503
86732,694610,8.008693446478809
7199,66842,9.28490068065009
52568,489127,9.304653020849186
7233,74302,10.272639292133277
22385,227184,10.148939021666294
138941,1319343,9.495706810804586
20394,221946,10.88290673727567
19812,194592,9.821926105390672
39678,430265,10.843918544281467
4795,50971,10.630031282586026
62650,443342,7.076488427773344
12030,80591,6.699168744804655
700066,5346027,7.63646141935189
98928,672335,6.796205321041565
32934,152419,4.628013602963502
45065,319869,7.0979474092976815
37081,223473,6.026617405140099
1159717,5889770,5.078626940882991
56471,301451,5.338155867613465
54283,197663,3.641342593445462
47457,297599,6.270918937143098
82795,566044,6.836693037019144
